@×ÿ¿÷ÿ00000000	00000000	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
    1500004095	 2595.00	   | 1500
