þû×?þû00000000	00000000	00 | 1500
00003800000323	-0000777	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000326	-0000774	-0 | 1100
00003800000326	-0000774	-0 | 1100
00003800000326	-0000774	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000324	-0000776	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
00003800000325	-0000775	-0 | 1100
